"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"1274",1572,"NCT00614393",402951,0.625,5,8,"Up to 30 days after last dose of study drug (Up to 33 months)","The APaT population consisted of all randomized participants who received ≥1 dose of study drug. Participants were included in the treatment group corresponding to the study drug they actually received.","Dalotuzumab 15 mg/kg /7.5 mg/kg Q2W (OL)","In the OL portion of the study, ≥6 participants received cetuximab 400 mg/m^2 Q1W + irinotecan Q1W at their pre-study dosage + OL dalotuzumab (loading dose of 15 mg/kg IV followed by a maintenance dose of 7.5 mg/kg 2 weeks later) to verify the safety of the regimen. In DB Week 1, participants received cetuximab 400 mg/m^2 IV + irinotecan IV. In DB Week 2, participants received cetuximab 250 mg/m^2 IV + irinotecan IV + DB dalotuzumab 15 mg/kg IV. In DB Week 3, participants received cetuximab 250 mg/m^2 IV + irinotecan IV. Starting with DB Week 4, participants received cetuximab 250 mg/m^2 IV Q1W + irinotecan IV Q1W + DB dalotuzumab 7.5 mg/kg IV Q2W for up to 32 months of treatment."
"1285",1583,"NCT01081041",235371,0.623376623,48,77,NA,"Serious adverse events (SAEs) and other non-serious AEs are reported for participants who received at least 1 dose of any drug (cetuximab, cisplatin, carboplatin, or 5-FU). Death due to progressive disease was not considered an AE.","Part 2: Cetuximab (US Commercial), Cis or Carbo, 5-FU","Combination Therapy (maximum 6 cycles):
US commercial cetuximab, manufactured by ImClone, 400 mg/m^2 IV infusion on Day 1 of Cycle 1; subsequently 250 mg/m^2 IV infusion weekly.
Cis 100 mg/m^2 or carbo AUC 5, up to a maximum 750 mg dose, IV infusion on Day 1 of every 21-day cycle, 1 hour after cetuximab infusion.
5-FU: 1000 mg/m^2 IV infusion on Days 1 through 4 of every 21-day cycle.
Monotherapy Therapy:
Participants who did not experience disease progression after 6 cycles of combination therapy continued on weekly US commercial cetuximab monotherapy 250 mg/m^2 until disease progression, unacceptable toxicity, or other withdrawal criteria were met."
"1287",1585,"NCT00193453",539948,0.623188406,43,69,NA,NA,"Intervention","Newly-diagnosed unresectable stage III/IV NSCLC patients were treated with docetaxel-30mg/m2 IV; gemcitabine-1000mg/m2 IV days 1, 8; cetuximab-400mg/m2 IV day 1, then 250 mg/m2 IV weekly. Patients received up to 6 cycles (21-d)."
"1292",1590,"NCT00509899",443525,0.621621622,23,37,NA,NA,"All QD","Participants received an initial dose of Ruxolitinib 25, 50, 100 or 200 mg once a day (qd). Participants could continue in the study on their prescribed regimen indefinitely if receiving benefit with dose adjustments for safety and efficacy. Since the numbers of patients in 3 of the qd treatment groups were small, the 4 qd doses were combined to allow meaningful comparisons against the bid treatment groups."
"1309",1613,"NCT00919061",291104,0.615384615,24,39,NA,NA,"Gemcitabine and Cisplatin Plus Sorafenib","This is a non-randomized, open label, single institution, phase II study of gemcitabine and cisplatin plus sorafenib for the treatment of patients with advanced or biliary tract carcinomas naïve to systemic therapy.
Gemcitabine and Cisplatin plus Sorafenib: Patients will receive treatment under the following schedule:
Gemcitabine: 800 mg/m2 over 30 minutes IV, weekly for 2 weeks, followed by a week off treatment.
Cisplatin: 20 mg /m2 over 30 minutes IV, weekly for 2 weeks, followed by a week off treatment.
Sorafenib: 400 mg PO once a day continuously. Three weeks of treatment correspond to one cycle."
"1310",1614,"NCT01286753",170701,0.615384615,16,26,"Baseline until 28 days after the last dose of study treatment or until initiation of another anti-cancer therapy, whichever occurred first (up to approximately 4 years)","Safety population, defined as enrolled participants who received at least one dose of study treatment.","TKI Naive","Vemurafenib 960 mg orally twice daily in participants naive to any prior systemic TKI therapy."
"1314",1618,"NCT02006667",35787,0.615384615,8,13,"Adverse events were reported from randomization until 30 days after the end of treatment.","This study did not include a separate analysis of non-serious AE's. In addition, only events by system organ class were provided, no preferred terms for individual events were available.","Trastuzumab/Gemcitabine/Cisplatin","Participants received gemcitabine 1200 mg/m^2, IV, on Days 1, 8, and 15 (for a maximum of six 4-week cycles); cisplatin 70 mg/m^2, IV, on Day 2 (for a maximum of six 4-week cycles); and trastuzumab 4 mg/kg, IV, on Day 3 of Cycle 1, followed by weekly doses of 2 mg/kg, IV, until disease progression."
"1316",1620,"NCT00882206",302006,0.615384615,8,13,NA,NA,"Decitabine / Vorinostat","This is a therapeutic trial investigating the combination of decitabine 15 mg/m2 and vorinostat 230 mg/m2 (maximum daily dose not to exceed 400 mg) in relapsed/refractory ALL/LL patients prior to induction chemotherapy.
cytarabine: At baseline when peripheral blood draw and bone marrow aspirate performed.
*Intrathecal Cytarabine administered dependent upon age - ranging from 30 mg to 70 mg.
decitabine: Days 1-4, 15 mg/m^2 intravenously (IV) over 1 hour
doxorubicin hydrochloride: Day 5, 60 mg/m^2 intravenously (IV) over 15 minutes
imatinib mesylate: 340 mg/m2 by mouth every day (rounded to the nearest 100 mg) for age <18 years and 400 mg orally every day for >18 years on Days 5-33.
methotrexate: **Intrathecal Methotrexate administered dependent upon age - ranging from 8 mg to 15 mg.
pegaspargase: 2,500 IU/m2 IM or IV q week (days 6, 12, 19, 26)
prednisone: 40mg/m2/day divided BID (days 5 – 33)
vincristine sulfate: 1.5mg/m2 (max 2 mg) iv push q week (days 5, 12)"
"1321",1625,"NCT00263328",528190,0.615384615,8,13,"Adverse events (AEs; serious and nonserious) were recorded from the time the participant had taken at least 1 dose of trial treatment through the follow-up visit at Month 98 or 2 months following discontinuation of treatment.","The same event may appear as both an AE and a serious AE (SAE). However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study.","Tofacitinib 30-15-10 mg BID","Participants receiving tofacitinib 30 mg, tablets, PO, BID at study entry (rollover from Parent Study A3921009) tapered tofacitinib dosage from 30 mg BID to 15 mg BID over 4 weeks on entry into Study A3921021 (25 mg BID for 2 weeks, 20 mg BID for 2 weeks, then 15 mg BID thereafter). Within the window of Months 12-24 post-transplant, tofacitinib dosage was tapered from 15 mg BID to 10 mg BID and participants remained on 10 mg BID throughout the duration of the study, for a maximum of 90 months. Participants also received corticosteroids (prednisone ≤5 mg daily [or equivalent] through at least 12 months post-transplant. Thereafter, steroids may have been discontinued at the investigator's discretion."
"1324",1629,"NCT00986674",267020,0.613636364,27,44,"Assessed every cycle (6 weeks) while on treatment and for 30 days after the end of treatment.","After off treatment, patients were assessed every 3 months if <2 years and every 6 months in year 3 to report any reportable long-term toxicity occurring prior to diagnosis of progression/relapse that has not been previously reported.","Arm I (Carboplatin, Paclitaxel, Cetuximab)","Patients receive carboplatin IV over 15-30 minutes and paclitaxel IV over 3 hours on days 1 and 22 and cetuximab IV over 1-2 hours on days 1, 8, 15, 22, 29, and 36. Treatment repeats every 42 days for 2 courses. Patients with stable or responding disease after 2 courses proceed to maintenance therapy with cetuximab alone on days 1, 8, 15, 22, 29, and 36. Treatment with cetuximab repeats every 42 days in the absence of disease progression or unacceptable toxicity."
"1327",1632,"NCT00393068",486771,0.612903226,38,62,NA,NA,"Treatment","Prior to surgery study treatment will be given over a 6 weeks (Days 1-42) period. Beginning Day 1 and continuing through Day 35 patients will receive a continuous infusion of 5-FU by vein. A small portable pump will be used to administer this drug into a tube that has been surgically inserted into the patient's vein. On Day 1 and 22 patients will also receive the drugs paclitaxel, carboplatin and bevacizumab by vein. Erlotinib is given by mouth beginning on Day 1 and continuing through Day 45. Patients will receive radiation therapy daily, Monday through Friday, beginning Day 1-35 (approximately 5 weeks).
Surgery will be performed approximately 12-14 weeks after beginning this combined treatment."
"1329",1634,"NCT00105443",561112,0.612582781,185,302,"Reporting Group (RG) 1 + 2: Data for Interim Analysis, cut-off Oct 17, 2006; RG 3: Data during and after unblinding (until Nov 21, 2008); RG 4: Data prior to date of unblinding (Feb 9, 2007); RG 5: Data after unblinding (Open Label; until Nov 21, 2008)","RG 1 + 3 description: All subjects randomized to Sorafenib treatment; RG 2 + 4 description: All subjects randomized to Placebo before unblinding (when they were on Placebo, before they had the opportunity to switch to Sorafenib treatment); RG 5 description: All placebo subjects who switched to Sorafenib treatment after unblinding occurred.","Placebo Arm, Complete Double-Blind Phase","Reporting Group 4 (RG 4): All participants that initially were randomized to Placebo (data from Placebo patients before unblinding at Feb 09, 2007); Sorafenib-matching placebo tablets were orally administered twice daily (bid).
Note: Safety Data presented here include participants listed in Arms B1 and B2 of the Participant Flow section."
"1331",1636,"NCT01229150",188364,0.612244898,30,49,NA,"The combination of toxicities allows for a more robust understanding of the combined therapy toxicities. The dosage of the combination of erlotinib plus AZD6244 was the same whether the pt has a KRAS mutation versus KRAS wild type. KRAS is a molecular mutation and does not change whether or not a pt has toxicities to the combination of therapies.","KRAS Mut 2 & WT KRAS 2","KRAS Mutant patients randomized to combination therapy arm
AZD6244 + Erlotinib: For KRAS mutant patients and Wild-Type KRAS patients randomized to the combination arm (arms are stratified based on KRAS mutational status), AZD6244 150 mg qd (every day) + erlotinib mg qd."
"1332",1637,"NCT00664326",385207,0.612244898,30,49,NA,"Acronyms used in Adverse events section: Gastrointestinal (GI), Not Otherwise Specified (NOS), Absolute Neutrophil Count (ANC), Common Terminology Criteria for Adverse Events (CTCAE).","Regorafenib (Stivarga, BAY73-4506)","Participants received Regorafenib 160 mg per os (po) every day (qd) for 3 weeks on 1 week off of every 4 week cycle"
"1335",1640,"NCT01030718",251507,0.611111111,33,54,NA,NA,"All Treated Participants","Imatinib resistant or intolerant CML-CP disease cohort, Imatinib resistant or intolerant CML-AP/BP disease cohort, and Ph+ ALL subjects with resistance or intolerance to past therapy. The study drug was administered twice daily (BID). The starting dose level for this trial in each individual participant was the same dose level at the end of CA180031 (ie, 50mg, 70mg or 90mg BID on a continuous daily dosing schedule), allowed to modify within the range of 50 mg twice daily (BID) to 90 mg BID."
"1343",1652,"NCT00918385",291250,0.608695652,14,23,NA,NA,"Combination Nilutamide and Dasatinib",NA
"1346",1655,"NCT00309946",514011,0.607843137,31,51,"After completion of study treatment, patients are followed for up to 8 weeks.",NA,"Treatment (Enzyme Inhibitor Therapy)","Initial cediranib maleate dosing was 45 mg (once daily) during a 28-day cycle. Courses repeated every 28 days in the absence of disease progression or unacceptable toxicity. Due to substantial toxicity, the starting dose was subsequently lowered to 30 mg daily."
"1348",1657,"NCT00454779",462395,0.607142857,34,56,"The time frame for adverse event reporting is from the first dose date to 30 days since the last dose date of the first-line treatment. The median time frame is 4.5 months for Panitumumab Plus Chemotherapy arm and 4.4 months for Chemotherapy Alone arm.","The table of Other Adverse Events summarizes the most frequent non-serious occurrences of adverse events.","Panitumumab Plus Chemotherapy","Panitumumab + Docetaxel + Cisplatin, experiment"
